Yıl,Ulaşılan Aşama,Ülke (Country)
2022,Şampiyon,Arjantin
2022,Finalist,Fransa
2022,Yarı Final,Hırvatistan
2022,Yarı Final,Fas
2018,Şampiyon,Fransa
2018,Finalist,Hırvatistan
2018,Yarı Final,Belçika
2018,Yarı Final,İngiltere
2014,Şampiyon,Almanya
2014,Finalist,Arjantin
2014,Yarı Final,Hollanda
2014,Yarı Final,Brezilya
2010,Şampiyon,İspanya
2010,Finalist,Hollanda
2010,Yarı Final,Almanya
2010,Yarı Final,Uruguay
2006,Şampiyon,İtalya
2006,Finalist,Fransa
2006,Yarı Final,Almanya
2006,Yarı Final,Portekiz
2002,Şampiyon,Brezilya
2002,Finalist,Almanya
2002,Yarı Final,Türkiye
2002,Yarı Final,Güney Kore
1998,Şampiyon,Fransa
1998,Finalist,Brezilya
1998,Yarı Final,Hırvatistan
1998,Yarı Final,Hollanda
1994,Şampiyon,Brezilya
1994,Finalist,İtalya
1994,Yarı Final,İsveç
1994,Yarı Final,Bulgaristan
1990,Şampiyon,Batı Almanya
1990,Finalist,Arjantin
1990,Yarı Final,İtalya
1990,Yarı Final,İngiltere
1986,Şampiyon,Arjantin
1986,Finalist,Batı Almanya
1986,Yarı Final,Fransa
1986,Yarı Final,Belçika
1982,Şampiyon,İtalya
1982,Finalist,Batı Almanya
1982,Yarı Final,Polonya
1982,Yarı Final,Fransa
1978,Şampiyon,Arjantin
1978,Finalist,Hollanda
1978,Yarı Final,Brezilya
1978,Yarı Final,İtalya
1974,Şampiyon,Batı Almanya
1974,Finalist,Hollanda
1974,Yarı Final,Polonya
1974,Yarı Final,Brezilya
1970,Şampiyon,Brezilya
1970,Finalist,İtalya
1970,Yarı Final,Batı Almanya
1970,Yarı Final,Uruguay
1966,Şampiyon,İngiltere
1966,Finalist,Batı Almanya
1966,Yarı Final,Portekiz
1966,Yarı Final,Sovyetler Birliği
1962,Şampiyon,Brezilya
1962,Finalist,Çekoslovakya
1962,Yarı Final,Şili
1962,Yarı Final,Yugoslavya
1958,Şampiyon,Brezilya
1958,Finalist,İsveç
1958,Yarı Final,Fransa
1958,Yarı Final,Batı Almanya
1954,Şampiyon,Batı Almanya
1954,Finalist,Macaristan
1954,Yarı Final,Avusturya
1954,Yarı Final,Uruguay
1950,Şampiyon,Uruguay
1950,Finalist,Brezilya
1950,Yarı Final,İsveç
1950,Yarı Final,İspanya
1938,Şampiyon,İtalya
1938,Finalist,Macaristan
1938,Yarı Final,Brezilya
1938,Yarı Final,İsveç
1934,Şampiyon,İtalya
1934,Finalist,Çekoslovakya
1934,Yarı Final,Almanya
1934,Yarı Final,Avusturya
1930,Şampiyon,Uruguay
1930,Finalist,Arjantin
1930,Yarı Final,ABD
1930,Yarı Final,Yugoslavya
